0cccd269-8b3b-4ff6-a288-4566e6725d2a,19-74-13,73772774,Child Account,1373.47
0cccd269-8b3b-4ff6-a288-4566e6725d2a,19-74-13,91238337,Savings,1032.28
0cccd269-8b3b-4ff6-a288-4566e6725d2a,19-74-13,81179188,Current,507.21
0cccd269-8b3b-4ff6-a288-4566e6725d2a,19-74-13,67267426,Savings,225.11
0cccd269-8b3b-4ff6-a288-4566e6725d2a,19-74-13,70470588,Current,3931.34
f91fc7ce-0db7-4c2c-8e49-3f3b7a565f17,41-59-31,44014026,Savings,4170.8
f91fc7ce-0db7-4c2c-8e49-3f3b7a565f17,41-59-31,80633519,Savings,4889.98
f91fc7ce-0db7-4c2c-8e49-3f3b7a565f17,41-59-31,16171603,Joint Account,2497.2
27a45c63-30c3-483c-8a4e-9369b29d08dc,21-69-82,14899100,Savings,1656.50
27a45c63-30c3-483c-8a4e-9369b29d08dc,21-69-82,17083115,Current,3992.19
27a45c63-30c3-483c-8a4e-9369b29d08dc,21-69-82,89163068,Savings,110.46
27a45c63-30c3-483c-8a4e-9369b29d08dc,21-69-82,67158867,Current,3330.64
27a45c63-30c3-483c-8a4e-9369b29d08dc,21-69-82,58666799,Joint Account,4885.70
27a45c63-30c3-483c-8a4e-9369b29d08dc,21-69-82,67227494,Student,318.49
b92c0513-abdc-4a2d-8bf9-fa0774055feb,22-50-57,78111670,Savings,3769.71
4144f46d-f389-4f1c-9aa3-5c40b5814e98,80-18-53,48833295,Savings,2646.63
4e35f137-d9a3-4f64-a8e2-da174f13c651,38-55-34,12321165,Joint Account,3548.71
4e35f137-d9a3-4f64-a8e2-da174f13c651,38-55-34,59142476,Child Account,4036.82
4e35f137-d9a3-4f64-a8e2-da174f13c651,38-55-34,95793613,Savings,2597.17
610345fa-48c2-4e4a-a298-72d4fa73264f,21-69-82,96623794,Current,2704.50
610345fa-48c2-4e4a-a298-72d4fa73264f,21-69-82,11702651,Current,353.54
29a38aec-30e6-4dc1-81aa-be1186d4506c,96-51-77,17872848,Current,4934.15
29a38aec-30e6-4dc1-81aa-be1186d4506c,96-51-77,44905187,Savings,1452.93
29a38aec-30e6-4dc1-81aa-be1186d4506c,96-51-77,15239270,Current,3288.91
29a38aec-30e6-4dc1-81aa-be1186d4506c,96-51-77,46830802,Joint Account,4291.5
29a38aec-30e6-4dc1-81aa-be1186d4506c,96-51-77,44341320,Current,3378.80
